name,post,address,lat,lng,monday,tuesday,wednesday,thursday,friday,saturday,sunday,tel,fax
コクミン薬局小岩駅前店,133-0057,東京都江戸川区西小岩1-23-13 植草ビル１階,35.73374106,139.8808507,"10:00-13:30,14:30-19:00","10:00-13:30,14:30-19:00","10:00-13:30,14:30-19:00","10:00-13:30,14:30-19:00","10:00-13:30,14:30-19:00","10:00-13:30,14:30-19:00",休業,03-5622-3011,03-5622-3012
ウエルシア江戸川松本店,133-0043,東京都江戸川区松本1-16-21,35.71523569,139.8760994,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,休業,03-5678-4116,03-5678-4115
サンドラッグ三鷹牟礼薬局,181-0002,東京都三鷹市牟礼5-8-11,35.6825028,139.5791306,,,,,,,,0422-41-6255,042-229-6355
サンドラッグ常盤平薬局,270-2261,千葉県松戸市常盤平3-10-1 セブンタウン常盤平店 1階,35.8028992,139.9511989,,,,,,,,047-311-5171,047-311-5172
サンドラッグ東府中薬局,183-0005,東京都府中市若松町1-38-1,35.6701264,139.4990883,,,,,,,,042-369-4381,042-369-4381
サンドラッグ東村山青葉町薬局,189-0002,東京都東村山市青葉町2-25-1,35.7617972,139.4907779,,,,,,,,042-390-1750,042-390-1832
サンドラッグ大岡山薬局,145-0062,東京都大田区北千束一丁目44番3号,35.6084335,139.6856337,,,,,,,,03-5731-8487,03-5731-8487
サンドラッグ荏子田薬局,225-0005,神奈川県横浜市青葉区荏子田3-24,35.577979,139.5355415,,,,,,,,045-909-1620,045-909-1620
サンドラッグ上福岡大原薬局,356-0003,埼玉県ふじみ野市大原1-1-15,35.8764007,139.5153727,,,,,,,,049-263-0223,049-263-0223
サンドラッグ町田木曽薬局,194-0037,東京都町田市木曽西3丁目19番地1,35.57331,139.4195191,,,,,,,,042-793-9241,042-793-9241
サンドラッグけやき台薬局,359-1118,埼玉県所沢市けやき台2-29-9,35.7987654,139.4558662,,,,,,,,042-928-1610,042-928-1610
サンドラッグ昭島松原町薬局,196-0003,東京都昭島市松原町1-4-13,35.7129034,139.3567087,,,,,,,,042-542-5818,042-542-5818
サンドラッグ浦和花月薬局,336-0932,埼玉県さいたま市緑区中尾260-1,35.871664,139.6786153,,,,,,,,048-810-4861,048-810-4862
サンドラッグ小金井梶野町薬局,184-0002,東京都小金井市梶野町1-7-32,35.7050882,139.5298374,,,,,,,,0422-36-7382,0422-36-7661
サンドラッグ南大沢薬局,192-0364,東京都八王子市南大沢二丁目25番地 フォレストモール 1階,35.6164544,139.3832301,,,,,,,,042-674-5460,042-682-5548
サンドラッグ西葛西薬局,134-0088,東京都江戸川区西葛西四丁目2番28号,35.6683766,139.8618354,,,,,,,,03-3680-4980,03-3680-4980
サンドラッグ立場薬局,245-0023,神奈川県横浜市泉区和泉中央南2-23-21,35.4143238,139.4990923,,,,,,,,045-805-0127,045-805-0127
サンドラッグ柏松葉町薬局,277-0827,千葉県柏市松葉町2-15-1,35.8881803,139.9764696,,,,,,,,04-7135-6676,04-7135-6677
サンドラッグ溝ノ口薬局,213-0001,神奈川県川崎市高津区溝口1-13-5,35.5999687,139.6135746,,,,,,,,044-833-0811,044-833-0811
サンドラッグ平塚夕陽ヶ丘薬局,254-0806,神奈川県平塚市夕陽ヶ丘62-1,35.3257227,139.3586916,,,,,,,,0463-24-8033,0463-24-8033
サンドラッグ下石原薬局,182-0034,東京都調布市下石原2-61-1,35.6515928,139.5365587,,,,,,,,042-498-8215,042-498-8215
サンドラッグ山手台薬局,245-0004,神奈川県横浜市泉区領家2-11-2,35.4181815,139.523414,,,,,,,,045-815-2253,045-815-2253
サンドラッグララガーデン川口薬局,332-0028,埼玉県川口市宮町18-9 ララガーデン川口 1階1030,35.8048684,139.6982172,,,,,,,,048-240-3101,048-240-3102
サンドラッグ江ノ島薬局,251-0037,神奈川県藤沢市鵠沼海岸一丁目3番16号 2F,35.3142252,139.4761184,,,,,,,,0466-31-0271,0466-31-0274
サンドラッグ赤堤薬局,156-0044,東京都世田谷区赤堤三丁目24番4号,35.656986,139.637383,,,,,,,,03-3321-6775,03-3321-6775
サンドラッグ京王堀之内駅前薬局,192-0363,東京都八王子市別所二丁目1番地 VIAナガイケ店内 1F,35.6075658,139.3892766,,,,,,,,042-670-8275,042-670-8276
サンドラッグ鎌倉常盤薬局,248-0022,神奈川県鎌倉市常盤276-1,35.328186,139.5228899,,,,,,,,0467-39-1121,0467-39-1121
サンドラッグ西武立川薬局,196-0001,東京都昭島市美堀町1-1-1号 ヤオコー西武立川駅前店 2階,35.7258094,139.3699905,,,,,,,,042-549-0803,042-549-0804
サンドラッグ津田沼南口薬局,275-0028,千葉県習志野市奏の杜2-1-1,35.6895306,140.01562,,,,,,,,047-470-3263,047-470-3264
サンドラッグ高島平薬局,175-0082,東京都板橋区高島平八丁目13番6号,35.789497,139.6620678,,,,,,,,03-3936-3663,03-3936-3663
サンドラッグ志木薬局,353-0004,埼玉県志木市本町6-22-45,35.827186,139.5731044,,,,,,,,048-473-2230,048-473-2230
サンドラッグ加藤新田薬局,272-0124,千葉県市川市加藤新田202-17,35.6789183,139.9318042,,,,,,,,047-701-0183,047-701-0184
サンドラッグ茅ヶ崎浜見平薬局,253-0065,神奈川県茅ヶ崎市松尾1-20,35.3274234,139.387704,,,,,,,,0467-87-7181,0467-87-7181
サンドラッグ若松薬局,264-0021,千葉県千葉市若葉区若松町502-70,35.6449638,140.1496,,,,,,,,043-420-2655,043-420-2655
サンドラッグ東久留米八幡町薬局,203-0042,東京都東久留米市八幡町1-9-28,35.7588348,139.5139465,,,,,,,,042-470-3181,042-470-3181
サンドラッグ九十九里薬局,283-0104,千葉県山武郡九十九里町片貝391-2,35.5314516,140.4270476,,,,,,,,0475-76-1033,0475-76-1033
サンドラッグ万力薬局,405-0031,山梨県山梨市万力77番,35.6865354,138.6677699,,,,,,,,0553-20-7016,0553-20-7017
サンドラッグ萩中薬局,144-0047,東京都大田区萩中一丁目6番19号,35.5517533,139.7288358,,,,,,,,03-5735-5202,03-5735-5202
サンドラッグ東村山富士見町薬局,189-0024,東京都東村山市富士見町1-2-50,35.7447101,139.4590324,,,,,,,,042-399-2872,042-399-2872
